食物名称,能量,蛋白质,脂肪,碳水化合物
鸡柳汉堡(肯德基),269,13.9,13.6,23.8
香芋甜心(肯德基),280,2.8,7.5,51.8
鸡肉汉堡(肯德基),292,7.9,16.3,31
鸡肉卷(肯德基),253,10.1,13.1,25.2
上校鸡块(肯德基),261,16.9,12.5,21.1
辣鸡翅(肯德基),337,19.4,23.6,12.8
新奥尔良鸡翅(肯德基),240,22.1,13.8,6.8
劲爆鸡米花(肯德基),302,18.4,18.9,16.2
甜玉米籽粒(肯德基),119,3.2,0.2,28.6
薯条(肯德基),298,4.3,15.5,40.5
比萨饼(夹奶酪),225,12.2,5.1,32.5
比萨饼(夹奶酷、肉和蔬菜),235,16.5,6.8,27
三明治(夹火腿、干酪),244,14.2,10.6,22.9
三明治(夹火蛋、干酪),234,10.7,13.3,17.8
三明治(夹鸡肉片、无调料酱),284,13.3,16.2,21.3
三明治(夹烤牛肉片),247,15.5,9.9,24.1
三明治(夹鱼肉片),276,10.7,14.4,26
干酪汉堡包(夹熏肉、加调料酱),311,16.4,18.9,19
干酪汉堡包(普通型、夹单层肉饼、无调料酱),316,14.5,14.9,31.1
干酪汉堡包(普通型、夹奶酪、单层肉饼、加调料酱),263,14.1,12.5,23.5
干酪汉堡包(普通型、夹奶酪、单层肉饼、加调料酱和蔬菜),235,11.6,12.9,18.3
干酪汉堡包(普通型、夹奶酪、双层肉饼、双层面包、加调料酱和蔬菜),285,13,15.5,23.3
汉堡包（普通型、夹肉饼、加调料酱和蔬菜）,256,11.7,12.3,24.8
热狗(原味),250,10.6,14.8,18.4
蛋片,391,8.1,4.1,80.5
麦片,368,12.4,7.4,67.3
燕麦片,377,15,6.7,66.9
玉米片(即食粥),391,7.2,3.7,82.3
早餐奶,68,2.3,3.1,7.7
八宝粥(康师傅牌),81,1.5,4.4,9.4
八宝粥(亲亲牌),76,2.1,4,8.8
八宝粥同茂牌),46,1.3,0.2,10.2
八宝粥(娃哈哈牌),64,1.7,0.9,12.8
八宝粥(无糖、娃哈哈牌),45,1.6,0.8,9.4
八宝粥(椰树牌),69,1.7,1,15.5
黑芝麻糊粉,408,6.9,7.5,82.3
麦片(原味香奶),406,4.7,9,82.8
燕麦片(果仁、甜),402,8.9,11.1,73.5
苦荞麦片(无糖),411,7.2,8,77.9
玉米片,365,7,0.8,86
玉米片(低钠),384,7.7,0.3,88.8
方便面,473,9.5,21.1,61.6
鸡汁味干脆面(面饼+调味料),505,11.4,27,55.2
海鲜味方便面(面饼+调味料+油料),451,10.4,19.2,60.1
红烧牛肉方便面(面饼+调味料+蔬菜+肉酱),447,10.2,17.9,62.6
鳕鱼方便面(面饼+调味料+珍料+调节器味油+蔬菜),470,10.2,24.2,53.7
铁板牛肉炒面(面饼+汤料+蔬菜+调味酱),438,11.7,18.8,59.3
铁板牛肉炒面(面饼+汤料+蔬菜),un,12,—,81.3
调味酱(铁板牛肉炒面),un,10.1,—,68.8
玉米红烧牛肉味方便面(面饼+调味料+蔬菜+肉酱),330,5.8,4.1,68.5
海鲜鸡汁味米线(米线+调味料+蔬菜+肉酱),167,4.5,1,35.5
海鲜鸡汁味米线(米线+调味料+蔬菜),un,3.9,—,37.2
肉酱(海鲜鸡汁味米线),un,7.2,—,69
冬菜虾仁馄饨,180,9.1,4.3,26.5
韭菜合子,211,7.5,11.3,20.3
糯米饭团,333,5.9,17.6,38.3
什锦炒饭,188,5,5.6,29.7
虾仁炒饭,138,4.7,1.7,26.3
面包(X),313,8.3,5.1,58.6
多维面包,316,8.8,8.4,51.3
法式牛角面包,378,8.4,14.3,54.6
法式配餐面包,284,10,1.2,58.7
果料面包,279,8.5,2.1,57
黄油面包,331,7.9,8.7,55.6
乐斯美面包,335,9.2,2.8,68.6
麦胚面包,246,8.5,1,50.9
麦维面包,270,8.3,4.7,48.6
维生素面包,279,8.8,5.6,48.6
咸面包,275,9.2,3.9,51
椰圈面包,320,9.5,4.8,59.9
桦榕面包,329,8.9,7.5,56.6
面包条(白),283,8.3,5.2,51.1
面包屑,355,14.2,3.7,72.4
葡萄干面包,260,6.6,3.7,50.1
饼干(X),435,9,12.7,71.7
VC饼干,573,10.8,39.7,43.2
饼干(强化锌)[富锌饼干],446,11,13.3,71.2
补血饼干,452,11.8,14.7,68.4
儿童营养饼干,447,10.8,12.9,72.1
钙奶饼干,446,8.4,13.2,73.9
钙王饼干,450,7.8,13.9,73.6
高蛋白饼干,451,11,16.2,66
军用压缩饼干,460,7.9,17.8,67.6
奶油饼干,431,8.5,13.1,70.2
牛奶饼干,408,8.1,6.1,80.3
曲奇饼干,546,6.5,31.6,59.1
苏打饼干,408,8.4,7.7,76.2
维夫饼干,529,5.4,35.2,48
饼干(三明治),515,7.1,30.4,57.9
饼干(夹心),449,6.2,15.9,75.3
饼干(甜酥夹心),557,5.6,35.1,55.6
饼干(苏打夹心),463,7.6,19.3,69.8
饼干(咸),496,8.4,25.6,62.7
曲奇饼(加奶油),526,6.4,27.2,64
早茶饼,440,8.1,14.5,72.2
饺子(素馅),198,6.8,5.6,32.7
饺子(三鲜馅),240,8.8,12.3,26.6
饺子(猪肉白菜馅),218,7.5,10.8,26
饺子(猪肉韭菜馅),250,7,14.4,26
饺子(猪肉芹菜馅),253,7,16.8,22.1
饺子(猪肉茴香馅),223,7.3,9.1,31.1
饺子(猪肉香菇馅),231,12.3,15.3,11.5
饺子(猪肉虾仁馅),267,10,15.4,22.7
饺子(鸡肉蘑菇馅),186,7.4,7.4,22.8
饺子(海鳗猪肉馅),249,14.3,17.7,8.5
饺子(海鳗虾仁馅),266,12.3,20,9.7
包子(三鲜馅),223,7.4,8.6,29.1
包子(猪肉馅),227,7.3,10,28.6
自然阳光赋力蛋白营养粉（巧克力味）,376,58.1,8.2,11.7
自然阳光三合一复合植物固体饮料,237,0.8,4.5,12.1
菠萝豆,392,10.4,2.1,82.9
空心果,452,6.8,15.2,72
马铃薯片(油炸)[油炸土豆片],615,4,48.4,41.9
酥香兰花豆,418,12.8,13.6,61.7
米饼(鸡蛋牛奶味),536,4.2,29.9,63.2
雪米饼,463,5.5,17.6,73.5
蛋酥卷,523,8.1,35.3,53.7
巧克力派,425,4.3,17.7,65.7
法式卷饼,535,7.6,34,54.7
立体脆,475,6,24.7,63.8
粟米脆,553,5.6,34.7,56.5
通心脆,500,3.1,29.6,61.6
洋葱圈,476,4.3,21.3,68.5
虾片,523,5.3,30.9,59.5
锅巴(豆香),528,7.6,30.6,59.2
锅巴(小米),554,6,36.9,54.6
海苔,177,29.4,4.8,50.4
香菇片,316,9.9,12.4,61.9
薯片(烧烤味),548,7.5,37.6,49.2
薯片(香辣味),555,7.4,40,46.6
薯圈,576,1.3,42.6,51.7
怪味胡豆,403,12.6,12.1,69.6
奶油五香豆,220,26.2,2,54
夹心米果,593,5,41.9,50.4
乐芙球,573,7.6,45,43.9
玉米花,406,10.8,13.4,70.4
果仁脆枣,484,13,25.6,55.1
空心脆枣,376,6.5,1.2,88.6
鱼肉粒,376,27.1,3.3,59.5
果冻(草莓水果冻),71,0.1,0.2,17.2
果冻(蒟蒻冻),100,0,Tr,25.6
果冻(蒟蒻椰果冻),109,0,Tr,27.8
果冻(AD钙果冻),70,0.1,0.4,16.6
肯德基香辣鸡腿堡,256,12,13.2,22.2
肯德基老北京鸡肉卷,292,12.9,14.9,25.9
肯德基新奥尔良烤鸡腿堡,202,12.8,8.2,18.9
肯德基劲脆鸡腿堡,266,12.4,14.2,21.9
肯德基田园脆鸡堡,175,5,8.4,19.4
肯德基吮指原味鸡,161,13,9,4
肯德基新奥尔良烤翅,240,22.1,13.8,6.8
肯德基香辣鸡翅,353,19.7,25.7,11.5
肯德基辣鸡翅,337,19.4,23.6,12.8
肯德基薯条,289,3.4,11.6,42.9
肯德基劲爆鸡米花,239,13.5,13.3,16.5
肯德基上校鸡块,225,12,14.5,12
肯德基土豆泥,65,1.4,0.6,12.8
肯德基鲜蔬汤（带水）,175,19,10.4,1.5
肯德基黍米棒,100,2.8,1.4,16.5
肯德基原味蛋挞,404,5.8,25.3,38.4
肯德基蛋挞,436,5.6,31.8,32.2
肯德基葡式蛋挞,442,5.6,31.8,32.2
麦当劳普通汉堡包,272,14.3,8.7,32.8
麦当劳吉士汉堡,272,14.2,10.7,28.3
麦当劳双层吉士汉堡,275,16.3,13.6,21.1
麦当劳麦香鸡,312,12.1,13.8,33.6
麦当劳麦香鱼,263,11.5,10.8,28.8
麦当劳麦辣鸡腿汉堡,322,14.5,16.5,27.8
麦当劳培根蔬萃双层汉堡,287,15.5,14.4,22.3
麦当劳巨无霸,273,14.4,13,23.7
麦当劳原味板烧鸡腿汉堡,252,14.3,10.9,23.2
麦当劳不素之霸双层汉堡,282,17.2,14.6,19.9
麦当劳双层深海鳕鱼堡,277,13.3,13,26
麦当劳安格斯厚牛培根堡,330,17.1,19.2,21.8
麦当劳安格斯厚牛芝士煲,310,14,16.8,20.4
麦当劳薯条,226,3.3,10.4,28.2
麦当劳麦乐鸡,275,16.1,16.4,14.6
麦当劳玉米杯,39,1.4,0.8,5.9
麦当劳麦辣鸡翅,225,14.4,14.4,9.4
麦当劳那么大鸡排,259,15.7,14.2,16.4
麦当劳美味鲜蔬杯,12,0.6,0,1.7
麦当劳香芋派,304,3.1,16.9,34.2
麦当劳菠萝派,299,2.6,17.1,32.8
百事可乐,28,0.2,0.1,6.5
冰川可乐,45,…,…,11.2
橙珍(易拉罐装),25,0.1,…,6.1
橙汁汽水,20,…,…,5.1
柠檬汽水,38,—,—,9.5
特制柠檬汽水,50,…,…,12.5
特制汽水,42,…,…,10.5
维尔康运动饮料,45,…,0.1,11
可口可乐,43,0.1,0,10.8
雪碧,46,0,0,11
VC橘汁,95,0.1,0.2,23.2
浓缩橘汁,235,0.8,0.3,57.3
鲜橘汁(纸盒),30,0.1,…,7.4
橘子汁,119,…,0.1,29.6
刺玫汁(纸盒),32,…,…,8.1
甘蔗汁,65,0.4,0.1,16
红果汁,157,…,0.2,38.7
柠檬汁,27,0.9,0.2,5.5
沙棘果汁,47,0.9,0.5,10.6
乌梅汁,133,0.2,0.1,32.8
原汁沙棘,48,2.6,—,9.3
菠萝汁饮料(百果洲牌),47,0.2,0.1,11.4
菠萝汁饮料(大湖牌),36,0.3,0.2,8.3
苹果汁饮料(光明牌),54,0.1,0.3,12.8
苹果汁饮料(亨氏),50,0.1,0.3,11.7
苹果果肉饮料,44,0.1,0.4,12.1
橙汁饮料(光明牌),44,0.7,0.1,10.2
橙汁饮料(茹梦牌),47,0.3,0.2,11.2
橙汁饮料(汇源牌),46,0.5,0,11
橙汁饮料(三得利牌),47,Tr,0,11.8
芒果汁饮料,44,0.1,0,12
沙棘果浆,325,0.3,0.5,80.2
山楂果肉饮料,55,0.1,0.2,13.9
酸枣果汁饮料,27,0.1,0,6.7
西番莲汁饮料,50,0.2,0.1,12
西柚汁饮料,34,0.6,0.4,7.3
椰子汁饮料,51,0.7,2.4,6.6
杏仁椰汁饮料,39,0.6,0.1,9
胡萝卜素王,131,0.1,0.2,32.5
胡萝卜汁饮料,24,0.1,0,6.3
果味奶,20,0.9,0.8,2.4
喜乐(乳酸饮料),53,0.9,0.2,11.8
AD钙奶,55,1.1,0.1,12.3
健康快车奶饮料,38,1.1,0.6,6.9
粒粒果奶饮料,30,1.1,0.6,5.1
酸乳饮料,54,1.1,1.3,9.4
酸乳饮料(发酵),54,0.7,0.3,12.1
巧克力豆奶,39,2.9,0.5,5.8
杏仁露,46,0.9,1.1,8.1
核桃乳(儿童),44,0.8,2.1,5.5
核桃乳(女性型),53,0.9,2.7,6.2
核桃乳(中老年型),52,0.9,2.9,5.5
核桃乳(佐餐调和型),51,0.8,2.9,5.4
茶砖[砖茶],283,14.5,4,66.7
茶砖(小),308,15.1,4,68.9
红茶,324,26.7,1.1,59.2
花茶,316,27.1,1.2,58.1
甲级龙井,331,33.3,2.7,48.9
绿茶,328,34.2,2.3,50.3
石榴花茶,343,10.5,2.9,74.2
柿叶茶,321,25.8,1.9,59.1
铁观音茶,334,22.8,1.3,65
珠茶,334,28.7,1.7,58.3
大麦茶,305,13,3.4,77.6
茶水,0,0.1,…,0
大麦茶水,1,Tr,0,0.3
红茶包,0,0,0,0
宝宝福,390,0.2,…,97.3
冰激凌粉,396,14.5,3.5,76.7
固体橘子饮料,391,0.2,…,97.5
可可粉,349,20.9,8.4,54.5
麦乳精,429,8.5,9.7,77
山楂晶,386,0.1,0.2,95.9
酸梅晶,394,0.2,…,98.4
鲜橘晶,385,0.3,…,95.9
猕猴桃晶,390,0.4,…,97.1
橘子晶,390,0.2,0.4,96.5
高乐高营养饮品,394,5.8,2.4,88.4
菓珍,407,0.1,2.2,96.8
桂花酸梅晶,397,0.4,1.6,95.4
柠檬茶,406,0.2,1.7,97.6
巧克力麦芽营养饮品,390,8,4,80.6
咖啡豆,203,17.1,8.8,68.9
咖啡粉,218,12.2,0.5,41.1
咖啡伴侣,554,2.7,34.9,57.3
冰棍,47,0.8,0.2,10.5
冰砖,153,2.9,6.8,20
冰激凌,127,2.4,5.3,17.3
大雪糕,74,2.2,0.9,14.3
三明治冰激凌,169,7.4,5.6,22.2
双棒雪糕,137,2.3,3.6,23.9
娃娃头,215,9.8,8.6,24.6
紫雪糕,228,2.6,13.7,23.6
冰激凌(草莓味),150,2.7,3.2,28.5
冰激凌(苦咖啡味),205,2.9,10.1,25.6
冰激凌(加奶油),211,3.5,12.8,20.5
冰激凌(草莓圣代),145,2.9,2.6,27.7
冰激凌(巧克力圣代),173,3.6,4.8,29
冰激凌(脆皮甜筒),158,3.5,5.5,23.9
冰激凌(花心筒),278,4.2,13.1,36.7
冰激凌(金百合),202,3.3,10.5,24.5
雪糕(百乐宝),147,2.8,6.2,20.1
雪糕(红豆缘),212,2.7,4.8,41.2
棒冰(可乐冰),73,Tr,1,16.1
棒冰(奇彩旋),95,Tr,1.1,21.3
红景天饮料,33,0,0,8.2
纯净水(康师傅牌),0,0,0,0
纯净水(乐百氏牌),0,0,0,0
纯净水(娃哈哈牌),0,0,0,0
纯净水(椰树牌),0,0,0,0
饮用水(农夫山泉牌),0,0,0,0
饮用水(雀巢),0,0,0,0
矿泉水(获特满牌),0,0,0,0
矿泉水(康师傅牌),0,0,0,0
矿泉水(蓝涧牌),0,0,0,0
矿泉水(乐百氏牌),0,0,0,0
矿泉水(雀巢),0,0,0,0
矿泉水(椰树牌),0,0,0,0
肯德基巧克力圣代,222,6.4,6.4,33.8
肯德基九珍果汁,31,0.1,0.3,6.9
肯德基可乐,42,0.2,0,10
肯德基七喜,39,0,0,9.4
麦当劳朱古力新地,188,3,5.2,32.2
麦当劳草莓新地,161,2.7,3.9,28.8
麦当劳麦旋风奥利奥原味,128,2.4,4.2,20.2
麦当劳麦旋风奥利奥草莓口味,140,2.4,4.2,23.3
麦当劳可乐,27,0,0,6.5
麦当劳雪碧,27,0,0,6.8
麦当劳柠檬红茶味饮料,21,0,0,5
麦当劳低糖茉莉味绿茶,7,0,0,1.6
麦当劳热朱古力,41,0.4,0.5,8.7
麦当劳锡兰红茶,0,0,0,0.8
麦当劳鲜煮咖啡,2,0,0,0.3
麦当劳经典美式咖啡,2,0.1,0,0.2
麦当劳热拿铁,34,1.7,1.7,2.8
麦当劳热摩卡,71,2.2,2.4,8
啤酒(X),32,0.4,/,/
北京啤酒,32,0.4,/,/
北京特制啤酒(6度),35,0.4,/,/
楚天啤酒(2.6度),16,0.4,/,/
酒泉啤酒,28,0.4,/,/
麦饭石啤酒,25,0.5,/,/
美雪啤酒,34,0.4,/,/
秦海啤酒,36,0.5,/,/
清爽型啤酒(6度),35,0.4,/,/
特制啤酒(5度),30,0.4,/,/
维生素C啤酒,77,0.3,/,/
武汉啤酒(3.2度),19,0.3,/,/
五星啤酒,32,0.3,/,/
行吟阁啤酒(3.2度),19,0.3,/,/
"啤酒(4.3%,青岛牌)",38,0.4,0,3.1
"啤酒(4%,燕京牌)",27,0.3,0,0.8
"啤酒(5.1%,生力牌)",42,0.4,0,2.9
葡萄酒(X),72,0.1,/,/
白葡萄酒,66,0.1,/,/
红葡萄酒,74,0.1,/,/
玫瑰香葡萄酒(15度),85,0.1,/,/
"葡萄酒(干白,11%,长城牌)",67,0.1,0,1.2
"葡萄酒(干白,12%,张裕牌)",75,0.3,0,1.5
"葡萄酒(半干白,11.5%,王朝牌)",73,0.3,0,1.6
"葡萄酒(干红,11.5%,长城牌)",72,0.2,0,1.5
"葡萄酒(干红,11.5%,王朝牌)",73,0.3,0,1.7
"葡萄酒(干红,12%,张裕牌)",75,0.3,0,1.5
黑加仑酒(8%),51,Tr,0.2,1.2
雪利酒,116,0.1,0,5.9
黄酒(X),66,1.6,/,/
贡米佳酿(14度),79,—,/,/
加饭黄酒,37,1.6,/,/
江米酒,91,1.6,/,/
糯香酒(6.4度),36,—,/,/
善酿酒,99,2,/,/
绍兴黄酒(15度),85,—,/,/
元红黄酒,36,1.3,/,/
花雕酒(16.5%),124,1,0,6.5
碧绿酒,239,—,/,/
崇明老白酒,298,—,/,/
低度汉酒(37.2度),216,—,/,/
二锅头(58度),351,—,/,/
甘州大曲,312,—,/,/
汉口白酒(49.6度),295,—,/,/
汉口小麦酒(40.7度),237,—,/,/
黄鹤楼酒(39度),227,—,/,/
精制小麦酒,238,—,/,/
景泰大曲,304,—,/,/
景泰二曲,287,—,/,/
酒泉酒,343,—,/,/
凉州曲酒,315,—,/,/
宁河大曲,314,—,/,/
宁河二曲,314,—,/,/
曲酒(55度),330,—,/,/
三粮小麦(55度),330,—,/,/
丝路春酒,315,—,/,/
特制汉酒(59.5度),364,—,/,/
特制三粮酒(56.2度),339,—,/,/
乌林春酒(青稞酒),343,—,/,/
五酿春(44.4度),260,—,/,/
小麦酒（48度）,284,—,/,/
小麦酒（50度）,297,—,/,/
燕岭春(57度),344,—,/,/
醉流霞(57度),344,—,/,/
"董酒(浓香型,46%)",272,Tr,0,0
二锅头(56%),338,Tr,0,0
"汾酒(清香型,53%)",317,Tr,0,0
"古井贡酒(浓香酒,38%)",222,Tr,0,0.2
剑南春(52%),312,Tr,0,0.2
"剑南春(浓香型,38%)",222,Tr,0,0.2
"京酒(浓香型,38%)",221,Tr,0,0
茅台酒(53%),317,Tr,0,0
五粮液(52%),311,Tr,0,0
竹叶青酒(45%),307,Tr,0,10.4
金奖白兰地(38%),226,Tr,0,1.1
伏特加,234,0,0,0
威士忌,252,0,0,0.1
蜜酒,84,—,/,/
双喜沙棘酒,80,—,/,/
香雪酒,37,1.5,/,/
中华沙棘酒,57,—,/,/
苹果酒(干型),36,Tr,0,2.6
苹果酒(甜),42,Tr,0,4.3
果汁朗姆酒(9.9%),201,0.4,1.9,28.3
鸡尾酒,105,0,0,0
马提尼酒(32%),243,0,0,2
曼哈顿酒(30.6%),225,0.1,0,3.2
酸味威士忌(16.8%),119,0,0,13.4
白砂糖,400,…,…,99.9
绵白糖,396,0.1,…,98.9
冰糖,397,…,…,99.3
红糖,389,0.7,…,96.6
麦芽糖,331,0.2,0.2,82
蜂蜜,321,0.4,1.9,75.6
花生牛轧糖,432,4.9,12.3,75.4
胶姆糖,368,0.1,—,91.9
马蹄软糖,359,0.1,—,89.6
棉花糖,321,4.9,—,75.3
奶糖,407,2.5,6.6,84.5
泡泡糖,360,0.2,—,89.8
巧克力,589,4.3,40.1,53.4
巧克力(酒芯),401,1.3,12,72.2
巧克力(维夫)[朱古力威化],575,8.2,38.4,49.7
山楂球,371,0.5,—,92.6
什锦糖果,399,0.3,0.2,98.9
水晶糖,395,0.2,0.2,98.2
酥糖,444,6,13.9,75.6
酸三色糖,397,Tr,0.4,98.4
鲜桃果汁糖,397,Tr,0.2,98.8
芝麻南糖,548,4.8,35.6,54.4
夹心糖,494,2.6,20.7,74.2
水果味软糖,369,6,0.3,85.6
牛奶糖,435,2.2,8.2,88.2
酸奶软糖,404,Tr,1.6,97.3
太妃糖,452,3.7,16.5,72.8
花生牛乳糖,453,11.7,15.5,69.5
花生芝麻糖,498,21.3,25.3,48.7
四味粽子糖,397,0.1,0.4,98.3
巧克力(充气),543,9.2,32.8,54.9
巧克力(果仁),511,9.9,33.5,53.5
巧克力(黑),516,4.2,30,63.1
巧克力(牛奶),575,8.2,39.2,49.9
海棠脯,290,0.6,0.2,72.6
李广杏脯,293,2.8,0.3,72.1
南瓜果脯,337,0.9,0.2,83.3
苹果脯,340,0.6,0.1,84.9
青梅果脯,314,1.2,0.6,77.4
桃脯,315,1.4,0.4,77.6
西瓜脯,311,0.7,0.2,77.5
杏脯,333,0.8,0.6,82
金糕,178,0.2,0.3,44
金糕条[山楂条],303,0.6,0.6,74.6
山楂果丹皮,326,1,0.8,80
冰糖酸角,257,2.3,0,68.9
甘草杏,155,2.7,1.1,46.1
清凉杏肉,311,2,0.2,79
雪梅,260,3.1,1.1,72.4
九制梅肉,257,3.4,3.2,70.8
九制西梅,228,2.6,1.2,65.9
九制应子,157,2.3,0.6,48.6
梅脯,308,0.3,1.1,78.8
阿胶枣,334,2.5,0.2,82
黑贡枣,305,2.7,0.9,78
野酸枣,326,2.7,0.5,79.6
多味山楂,249,1.8,1.9,61.8
山楂脯,255,0.5,0.6,62.9
地瓜干,338,2.4,0.1,83.9
野酸枣肉,326,2.7,0.5,79.6
蜂蜜(槐花）,361,0.2,0.3,89.5
蜂蜜(天麻),326,5.2,0.3,75.7
蜂蜜(硬蜜),328,0.3,0.5,80.5
蜂蜜(油菜花),338,0.2,0.3,83.7
牛油（板油）,835,Tr,92,1.8
牛油(炼),898,Tr,99.7,0.1
鸭油（炼),897,Tr,99.7,0
羊油（板油）,824,Tr,88,8
羊油(炼),895,Tr,99,0.9
猪油(板油),827,Tr,88.7,7.2
猪油(炼),897,Tr,99.6,0.2
菜籽油[青油],899,Tr,99.9,0
茶油,899,Tr,99.9,0
大麻油[粟米油],899,Tr,99.9,0
豆油,899,Tr,99.9,0
红花油,899,Tr,99.9,0
胡麻油,900,—,100,0
花生油,899,Tr,99.9,0
混合油（菜+棕）,900,—,99.9,0.1
葵花籽油,899,Tr,99.9,0
辣椒油,900,—,100,0
麦胚油,899,Tr,99.9,0
棉籽油,899,Tr,99.8,0.1
色拉油,898,Tr,99.8,0
椰子油,899,Tr,99.9,0
玉米油,895,Tr,99.2,0.5
芝麻油[香油],898,Tr,99.7,0.2
棕榈油,900,—,100,0
橄榄油,899,Tr,99.9,0
酱油,63,5.6,0.1,10.1
酱油(高级),71,8.4,0.2,9
酱油(一级),66,8.3,0.6,6.9
酱油(三级),40,6.8,0.4,2.4
酱油(冬菇),39,3.5,0.1,5.9
酱油(多味),86,7.8,0.4,12.9
酱油(三鲜),41,3.4,0.1,6.6
酱油(晒制),70,9.4,0.6,6.8
酱油(特母),55,6.7,…,7.2
酱油(味精),51,6.9,0.1,5.7
黄豆酱油,38,5.1,0.2,4.3
老抽,129,7.9,0.3,23.8
生抽,20,4.8,0.1,0
日式酱油,91,10.1,0,12.6
黄灯笼辣椒,34,1.2,1.4,4.2
泰式辣酱,190,0,0,46.2
醋,31,2.1,0.3,4.9
白醋,6,0.1,0.6,0
陈醋,114,9.8,0.3,17.9
甘醋,37,2.8,…,6.5
黑醋,91,3.7,0.2,18.5
五香醋,14,0.5,…,3
香醋,68,3.8,0.1,13
熏醋,43,3,0.4,6.9
豆瓣酱,181,13.6,6.8,17.1
豆瓣酱(辣油),188,7.9,5.9,27
豆瓣辣酱,73,3.6,2.4,12.9
花生酱,600,6.9,53,25.3
黄酱[大酱],138,12.1,1.2,21.3
酱油膏,99,13,0.7,10.2
辣椒酱[辣椒糊],36,0.8,2.8,3.2
麻辣酱,145,5.8,5.1,21.4
牛肉辣瓣酱,129,9.7,6.1,9.4
蒜蓉辣酱,96,4.8,0.6,19.6
甜面酱,139,5.5,0.6,28.5
五香豆豉,270,24.1,3,39.7
香油辣酱,67,2.1,3.6,9.8
芝麻酱,630,19.2,52.7,22.7
郫县辣酱,106,4,1,24.8
海鲜酱(阿香婆),492,3,41.1,28.2
牛肉酱(阿香婆),488,6.2,43,22.2
花生酱(加巧克力),633,19.6,55.4,22.1
千岛沙拉酱,475,2.3,43.4,19.8
沙拉酱,724,2.8,78.8,1
奶油攀司,605,2.9,42,53.8
草莓酱,270,0.8,0.2,66.3
番茄酱,85,4.9,0.2,16.9
柠檬酱,283,0.6,5.1,62.7
苹果酱,278,0.4,0.1,69
桃酱,274,0.4,0.2,68
杏酱,286,0.2,0.3,70.9
番茄沙司,112,1,0.2,28
腐乳(白)[酱豆腐],135,10.9,8.2,4.8
腐乳(臭)[臭豆腐],132,11.6,7.9,3.9
腐乳(红)[酱豆腐],153,12,8.1,8.2
桂林腐乳,206,7.3,11.3,19.2
糟豆腐乳[糟乳],157,11.7,7.4,11.2
腐乳(香辣味),158,13.1,11.6,0.8
"腐乳(白,石宝寨牌)[酱豆腐]",115,9.5,7.7,2.7
"腐乳(白,王致和牌)[酱豆腐]",153,12.3,11.6,0.6
八宝菜,78,4.6,1.4,13.4
冬菜,52,3.5,0.3,10.1
狗芽菜,27,1.3,0.1,6.5
桂花大头菜[佛手疙瘩],54,3.2,0.4,10.4
合锦菜,83,6,—,16.7
姜(糟),30,1.6,0.8,4.8
酱包瓜,112,4.7,…,24.8
酱大头菜,41,2.4,0.3,8.4
酱甘露[地蚕，甘露子],41,2.2,0.3,8.2
酱黄瓜,26,3,0.3,3.4
酱萝卜,33,3.5,0.4,4.5
酱蘑菇,122,5.4,0.2,25
酱苤蓝丝,42,5.5,…,5.7
酱莴笋,25,2.3,0.2,4.1
芥菜干,196,13.3,0.8,47.5
金钱萝卜,45,1.6,0.3,10.1
辣萝卜条,41,1.4,0.5,8.5
萝卜干,67,3.3,0.2,14.6
乳黄瓜[嫩黄瓜],36,1.7,0.3,7.4
什锦菜,35,2.9,0.5,6.2
酸芥菜,21,1.2,0.1,4.9
蒜头(酱),109,4.4,0.1,23.9
蒜头(甜)[糖蒜],117,2.1,0.2,27.6
甜辣黄瓜,102,2.8,0.2,22.8
甜酸皎头,98,0.5,0.5,23
五香大头菜,57,4.6,0.2,11.5
咸沙葱[蒙古韭],28,2.4,0.8,3.8
洋姜(腌)[菊芋，鬼子姜],36,2.6,…,6.8
榨菜,33,2.2,0.3,6.5
蕨菜(腌),26,2.5,0.3,4.4
腌芥菜头[水芥，水疙瘩],44,2.8,0.1,9.3
腌芥菜头(煮)[煮芥，煮疙瘩],30,2.1,0.2,5.9
腌韭菜花,17,1.3,0.3,2.8
腌龙须菜,71,1.4,Tr,17.3
腌雪里红,29,2.4,0.2,5.4
剁辣椒,30,1.4,0.5,10.8
酱八宝菜,120,5.6,6.1,13.8
酱甘露,68,3,0.4,14
酱花生米,367,17.2,31.9,11.3
酱籽萝,57,2.9,0.4,11.2
麻仁金丝,63,3.1,0.6,12.7
雪菜,22,1.5,1.6,8.7
腌大头菜,58,7,0.2,11.3
腌芥菜头,20,2.4,0.1,5.6
腌萝卜条,44,0.6,0.3,15.3
榨菜(鱼泉牌),34,1.8,2,4.8
榨菜(正林牌),10,1.5,0.1,4.1
酱蒜瓣,109,4.4,0.1,23.9
糖蒜瓣,117,2.1,0.2,27.6
"八角[大料,大茴香]",281,3.8,5.6,75.4
胡椒粉,361,9.6,2.2,76.9
花椒,316,6.7,8.9,66.5
黄毛籽,330,21,15.6,50.4
芥末,490,23.6,29.9,35.3
苦豆子,270,4.6,2.4,72.3
辣椒粉,290,15.2,9.5,57.7
全料蒸肉粉,343,8.9,1.2,74.3
五香粉,359,1,8,73.3
茴香籽[小茴香籽],318,14.5,11.8,55.5
咖喱粉,415,13,12.2,63.3
湖盐[青盐],11,0.1,0,2.7
精盐,0,…,…,0
土盐,0,…,…,0
味精,268,40.1,0.2,26.5
