食物名称,能量,蛋白质,脂肪,碳水化合物
结球菊苣（红）,17,1.8,0.2,3.4
软化白菊苣,17,1.5,0.2,3.1
穿心莲,17,1.7,—,2.5
红薯叶,27,3.1,Tr,5.1
南瓜藤,17,1.7,0,3.2
三七尖,21,2.3,0.2,4
棠梨花,58,3.5,0.8,9.1
洋丝瓜苗,29,4.4,0.3,2.2
芦荟叶,3,0,0.1,0.7
菊花花瓣,25,1.4,0,6.5
菊花花瓣（煮）,21,1,0,5.7
香芹（茎叶）,16,1.1,0.4,3.5
芋茎,15,0.5,0,4.1
芋茎（煮）,10,0.4,0,3.1
萝卜苗（芽）,21,2.1,0.5,3.3
萝卜叶,17,2,0.2,3.3
白菜苗（叶）,19,1.9,0.3,3.6
白菜（叶）,15,0.9,0.1,3.5
欧芹（叶）,34,4,0.7,7.8
花椰菜苗,34,3.6,0.5,5.4
厚皮菜（叶）,17,2,0.1,3.7
厚皮菜（叶，烫）,26,2.8,0.1,5.4
三叶芹（叶）,16,1,0.1,4
三叶芹（叶，烫）,12,0.9,0.1,3.3
九层塔（茎叶）,36,4.8,0.5,6.3
九层塔（茎叶，烫）,24,3,0.4,4
芝麻菜（叶）,17,1.9,0.4,3.1
波士顿生菜（叶）,10,1,0.2,2.7
紫叶生菜（叶）,15,1.2,0.2,3.2
散叶生菜（叶）,14,1.2,0.4,2.5
罗马生菜（叶）,16,1.2,0.2,3.4
白芦笋,25,1.8,0.2,4.9
芦笋花,21,2.9,0.3,2.7
小麦苗,34,3.3,0.5,5.5
丝瓜花,31,3.9,0.3,4.8
荞麦芽,20,1.9,0.2,3.4
薄荷（鲜）,55,3.1,0.6,10.9
薄荷（鲜）US,70,3.8,0.9,14.9
卷心菜（红）US,31,1.4,0.2,7.4
莲子（鲜）US,89,4.1,0.5,17.3
迷迭香US,131,3.3,5.9,20.7
竹笋（带壳）,23,2.6,0.2,3.6
竹笋（去壳）,23,2.6,0.2,3.6
白笋（水发）,31,2.9,0.4,6.3
鞭笋（带壳）,24,2.6,Tr,6.7
鞭笋（去壳）,24,2.6,Tr,6.7
春笋（带壳）,25,2.4,0.1,5.1
春笋（去壳）,25,2.4,0.1,5.1
冬笋（带壳）,42,4.1,0.1,6.5
冬笋（去壳）,42,4.1,0.1,6.5
黑笋（水发）,31,2.1,0.3,6.7
豌豆尖（嫩茎叶）,22,3.5,0.2,1.3
慈菇（鲜）[乌芋，白地果],97,4.6,0.2,19.9
豆瓣菜（鲜）[西洋菜，水田芥],20,2.9,0.5,1.5
菱角(老，鲜)[龙角],101,4.5,0.1,21.4
蒲菜（鲜）[香蒲，甘蒲，野茭白],14,1.2,0.1,2.4
水芹菜,13,1.4,0.2,1.8
茭白（鲜）[茭笋，茭粑],26,1.2,0.2,5.9
荸荠（鲜）[马蹄，地栗],61,1.2,0.2,14.2
莼菜(瓶装)[花案菜],21,1.4,0.1,3.8
藕[莲藕],47,1.2,0.2,11.5
红菱,165,5.7,0.3,40.9
慈姑（块茎）,128,6.3,0.1,26.6
慈姑（块茎，煮）,129,6.2,0.1,27.2
京都水菜（叶）,25,2.9,0.1,4.7
京都水菜（盐渍）,34,4.9,0,5.7
慈姑（带皮）,97,4.6,0.2,19.9
慈姑（去皮）,97,4.6,0.2,19.9
菱角（带壳）,101,4.5,0.1,21.4
菱角（去壳）,101,4.5,0.1,21.4
蒲白,14,1.2,0.1,2.4
茭白（带皮）,26,1.2,0.2,5.9
茭白（去皮）,26,1.2,0.2,5.9
马蹄（带皮）,61,1.2,0.2,14.2
马蹄（去皮）,61,1.2,0.2,14.2
莲藕（带皮）,47,1.2,0.2,11.5
莲藕（去皮）,47,1.2,0.2,11.5
红菱果/红菱肉,165,5.7,0.3,40.9
大薯（鲜）[参薯],108,2.1,0.2,24.9
豆薯（鲜）[凉薯，地瓜，沙葛],56,0.9,0.1,13.4
葛（鲜）[葛署，粉葛],150,2.2,0.2,36.1
山药[薯蓣，大薯],57,1.9,0.2,12.4
山药(干),327,9.4,1,70.8
槟榔芋,90,3,0.1,19.7
芋头[芋艿，毛芋],56,1.3,0.2,12.7
芋头（煮）,60,2.9,0.1,13
姜[黄姜],46,1.3,0.6,10.3
姜(干),308,9.1,5.7,64
姜(子姜)[嫩姜],21,0.7,0.6,3.7
洋姜[菊芋，鬼子姜],64,2.4,Tr,15.8
阳荷（花穗）,11,0.9,0.1,2.6
阳荷（茎叶）,6,0.4,0.1,1.5
