食物名称,能量,蛋白质,脂肪,碳水化合物,serving_grams
益母草鸡蛋,,,,,
番茄蛋饼,,,,,
香菇蛋汤,,,,,
鸡蛋香米粥,,,,,
凉拌松花蛋,,,,,
糖心鸭蛋,,,,,
燕麦鸡蛋糊,,,,,
孜然蛋香馒头,,,,,
醋烧鸡蛋,,,,,
葱香鸡蛋软饼,,,,,
家常炖卤蛋,,,,,
茴香摊鸡蛋,,,,,
茶香鹌鹑蛋,,,,,
鹌鹑蛋煲豆腐,,,,,
金银蛋烧寸排,,,,,
蒸水蛋,,,,,
大葱胡萝卜炒蛋,,,,,
煎荷包蛋,,,,,
韭菜虾仁炒蛋,,,,,
青蒜炒鸡蛋,,,,,
鸡蛋什蔬炒米饭,,,,,
蒸蛋羹,,,,,
拌松花蛋豆腐,,,,,
松花蛋蕃茄丝瓜汤,,,,,
皮蛋金汤苋菜,,,,,
皮蛋瘦肉青菜粥,,,,,
松花蛋香葱拌豆腐,,,,,
松花蛋鱼片汤,,,,,
家常皮蛋瘦肉粥,,,,,
芹菜皮蛋粥,,,,,
双椒皮蛋,,,,,
松花蛋苦瓜粥,,,,,
皮蛋冬瓜羹,,,,,
虎皮蛋焖排骨,,,,,
松花蛋苋菜汤,,,,,
皮蛋蔬菜汤,,,,,
姜汁松花蛋,,,,,
皮蛋紫菜豆腐,,,,,
松花蛋芫荽豆腐汤,,,,,
皮蛋炝白菜,,,,,
松花蛋蒸豆腐,,,,,
松花蛋小炒,,,,,
橙香奶酪,,,,,
红焖鹌鹑蛋,,,,,
酒酿煮元宝蛋,,,,,
香菇鹌鹑蛋,,,,,
茶叶卤鹌鹑蛋,,,,,
冬瓜鲤鱼汤,,,,,
滋补鲤鱼汤,,,,,
翡翠鲤鱼,,,,,
豆腐烧鲤鱼,,,,,
微波浇汁带鱼,,,,,
香煎小黄鱼,,,,,
煎炖刀鱼,,,,,
香煎带鱼,,,,,
五香草鱼,,,,,
西红柿鱼片汤,,,,,
熏草鱼,,,,,
枸杞蒸鱼,,,,,
豆瓣烧鱼片,,,,,
鲜烤鲫鱼,,,,,
鲜炖鲫鱼汤,,,,,
红枣豆腐煲鲫鱼,,,,,
番茄鲫鱼汤,,,,,
滋补鲫鱼,,,,,
鲫鱼煲白萝卜汤,,,,,
鲫鱼焖蛋,,,,,
鲫鱼烧冻豆腐,,,,,
红烧鲫鱼,,,,,
家常红烧鲫鱼,,,,,
枸杞煲鲈鱼汤,,,,,
家常油泼鲈鱼,,,,,
香滑鲈鱼,,,,,
家常蒸鲈鱼,,,,,
酱汁鲈鱼,,,,,
柠檬鲈鱼,,,,,
葱烧鲈鱼,,,,,
盐煎带鱼,,,,,
红焖小黄鱼,,,,,
简版水煮鱼,,,,,
石锅闷酥鱼,,,,,
香煎鲢鱼排,,,,,
蒜仔烧鱼,,,,,
秘制香辣黄花鱼,,,,,
豉汁蒸鲤鱼,,,,,
蒜香烧黄鱼,,,,,
鲢鱼烧豆腐,,,,,
家常鲜鱼汤,,,,,
蒸鲈鱼,,,,,
鲜香鱼片粥,,,,,
鱼汤豆腐,,,,,
蒜香炸排骨,,,,,
家常蒸排骨,,,,,
金瓜蒸排骨,,,,,
香菇大骨汤,,,,,
家常烧黄花鱼,,,,,
葱油烧鲈鱼,,,,,
鲫鱼蔬菜汤,,,,,
江东烧鲈鱼,,,,,
铁板鲈鱼,,,,,
酥鲫鱼,,,,,
酥带鱼,,,,,
鲫鱼枸杞苋菜汤,,,,,
白萝卜煲鲫鱼汤,,,,,
鲫鱼豆腐浓汤,,,,,
凉瓜黑鱼汤,,,,,
芥兰鲜鱼汤,,,,,
鲫鱼白萝卜豆腐汤,,,,,
鲜鲫鱼胡萝卜汤,,,,,
豉汁黑鱼,,,,,
茶香焖大虾,,,,,
什蔬炒大虾,,,,,
干烤对虾,,,,,
焗明虾,,,,,
鲜虾西兰花,,,,,
红焖龙虾,,,,,
蒸对虾,,,,,
芦笋炒对虾,,,,,
特色盐水基围虾,,,,,
盐水虾,,,,,
溜虾仁,,,,,
卤煮对虾,,,,,
香炸椒盐虾,,,,,
鲜虾炒饭,,,,,
蒜仔虾球,,,,,
草菇虾仁烧豆腐,,,,,
韭菜虾皮炒肉,,,,,
翡翠烩虾仁,,,,,
姜香白灼虾,,,,,
玉米青豆炒虾仁,,,,,
丝瓜烧虾仁,,,,,
虾仁韭菜炒蛋,,,,,
什锦大虾,,,,,
茶熏虾仁,,,,,
鲜虾苦瓜炒鸡蛋,,,,,
西芹烩虾仁,,,,,
虾仁炒扁豆,,,,,
西兰花炒鲜虾,,,,,
虾仁炒生菜,,,,,
宫保大虾,,,,,
什锦虾仁炒饭,,,,,
海米白菜汤,,,,,
海米拌豆腐,,,,,
金钩白玉条,,,,,
金钩白玉片,,,,,
虾米烧腐竹,,,,,
虾米粥,,,,,
蟹肉蒸水蛋,,,,,
蟹肉炒芥菜,,,,,
蒜泥拌豆腐,,,,,
山药烧甲鱼,,,,,
清炖火腿甲鱼汤,,,,,
家常烧甲鱼,,,,,
清水烧刀鱼,,,,,
炖刀鱼,,,,,
熘刀,,,,,
姜葱蒸刀鱼,,,,,
葱香油淋黄鱼,,,,,
参芪炖甲鱼,,,,,
彩椒煲扇贝,,,,,
扇贝扒芦笋,,,,,
麻辣水煮鱿鱼,,,,,
烧鱿鱼,,,,,
鱿鱼粥,,,,,
洋葱煸鱿鱼,,,,,
鱿鱼山药煲,,,,,
家常煸鱿鱼,,,,,
芹菜炒鱿鱼花,,,,,
菜椒烧鱿鱼,,,,,
鱿鱼花炒芹管,,,,,
三蔬酿乌贼,,,,,
青椒煸鱿鱼,,,,,
紫菜肉沫蛋花汤,,,,,
紫菜蛋丝汤,,,,,
紫菜虾皮拌豆腐,,,,,
海苔鸡蛋汤,,,,,
对虾炒韭菜,,,,,
家常红烧大虾,,,,,
蚝油对虾,,,,,
熏烤大虾,,,,,
寸排大虾粥,,,,,
素炒海带丝,,,,,
海带白萝卜汤,,,,,
海带炖豆腐汤,,,,,
海带焖肉,,,,,
海带焖黄豆,,,,,
烧海带结,,,,,
芝麻油海带丝,,,,,
海带煨豆腐,,,,,
